Set Lambda Up(nm), Detector 5 (cts/s), Error Counts
1516.4, 20171.6, 320.156899035
1516.5, 19677.5, 219.215533209
1516.6, 20668.3, 265.303241593
1516.7, 20417.6, 152.515048438
1516.8, 19525.1, 325.371310966
1516.9, 18175.5, 186.999064169
1517.0, 19789.7, 268.793619716
1517.1, 18250.4, 357.247869133
1517.2, 18452.6, 170.712155396
1517.3, 16967.6, 330.119735854
1517.4, 17180.6, 270.656682903
1517.5, 18124.5, 349.546634943
1517.6, 17532.7, 169.404279757
1517.7, 15957.9, 153.846969421
1517.8, 17831.3, 205.64583633
1517.9, 16891.6, 299.54371968
1518.0, 17106.4, 216.648655662
1518.1, 15762.9, 132.315872064
1518.2, 15767.4, 214.265816219
1518.3, 16151.6, 271.646166916
1518.4, 15147.6, 223.432405886
1518.5, 15420.5, 233.066192315
1518.6, 14725.9, 220.057924193
1518.7, 15032.0, 296.803975715
1518.8, 15925.1, 279.859411134
1518.9, 16027.7, 204.757441867
1519.0, 16130.0, 229.97217223
1519.1, 15264.1, 201.950216638
1519.2, 14886.4, 125.720483613
1519.3, 14370.7, 129.144918599
1519.4, 14241.1, 116.490729245
1519.5, 14884.8, 231.311824168
1519.6, 15630.5, 332.17352393
1519.7, 14372.2, 140.545224038
1519.8, 13839.3, 263.144086006
1519.9, 13764.2, 266.705380523
1520.0, 13617.6, 152.527505716
1520.1, 13955.8, 154.850766869
1520.2, 14142.9, 125.951141321
1520.3, 15637.8, 265.345359861
1520.4, 13700.8, 177.471575189
1520.5, 14943.9, 196.026248242
1520.6, 14527.5, 112.395951884
1520.7, 13952.1, 202.230784007
1520.8, 12961.2, 136.922459808
1520.9, 13101.6, 193.150304168
1521.0, 13737.5, 179.202818058
1521.1, 13462.0, 127.44253607
1521.2, 14184.7, 256.274871964
1521.3, 14828.9, 206.359613297
1521.4, 15119.4, 87.3340712437
1521.5, 14569.3, 255.698279228
1521.6, 13728.0, 128.275484797
1521.7, 13925.3, 259.651709026
1521.8, 15490.9, 280.922925373
1521.9, 14038.7, 177.679514858
1522.0, 14862.0, 209.169309412
1522.1, 14317.5, 195.343415553
1522.2, 13184.8, 198.178101717
1522.3, 14066.2, 188.204569551
1522.4, 13549.2, 282.615569281
1522.5, 12752.3, 88.7908215977
1522.6, 14840.2, 170.128657198
1522.7, 13957.6, 165.869346173
1522.8, 13862.5, 135.056469671
1522.9, 13667.9, 134.906226691
1523.0, 13035.5, 197.634637652
1523.1, 14000.2, 170.435794363
1523.2, 13695.2, 164.179048602
1523.3, 12167.4, 165.258101163
1523.4, 12961.7, 183.012048784
1523.5, 13401.1, 270.959203571
1523.6, 13566.4, 115.83367386
1523.7, 13696.6, 218.65141207
1523.8, 12414.6, 167.079142923
1523.9, 12730.5, 207.809167267
1524.0, 12682.6, 118.520209247
1524.1, 13214.2, 231.45790114
1524.2, 14339.8, 201.91473448
1524.3, 12441.7, 273.555862668
1524.4, 11970.6, 190.0201042
1524.5, 12929.6, 87.3592582386
1524.6, 13392.7, 134.258742732
1524.7, 11969.4, 135.879505445
1524.8, 12976.1, 97.8023005864
1524.9, 12116.0, 185.630816407
1525.0, 13694.2, 143.549851968
1525.1, 13989.5, 141.834586755
1525.2, 13276.1, 230.297828909
1525.3, 13420.8, 171.532387612
1525.4, 14223.8, 140.503238397
1525.5, 14283.9, 156.774647185
1525.6, 15185.5, 119.134587757
1525.7, 14365.6, 333.048104634
1525.8, 14755.5, 182.702079901
1525.9, 16310.7, 103.745891485
1526.0, 15419.0, 250.894798671
1526.1, 15302.9, 184.90454294
1526.2, 15641.8, 207.278942491
1526.3, 15451.5, 215.324522524
1526.4, 16071.1, 283.655583411
1526.5, 15531.8, 208.98554974
1526.6, 16466.4, 212.738430943
1526.7, 17699.6, 564.902150819
1526.8, 16116.9, 293.895032282
1526.9, 17805.9, 277.537547009
1527.0, 17750.9, 239.932678058
1527.1, 16456.3, 219.199019158
1527.2, 16623.9, 258.227206158
1527.3, 16968.5, 314.494912518
1527.4, 17872.8, 322.613018956
1527.5, 18434.3, 236.814294332
1527.6, 19467.7, 366.82912916
1527.7, 18607.4, 246.093153095
1527.8, 19678.2, 239.495219159
1527.9, 19951.0, 295.592286774
1528.0, 19321.0, 213.396813472
1528.1, 18720.2, 194.27547452
1528.2, 18530.3, 312.600079974
1528.3, 18775.9, 249.10979507
1528.4, 20357.8, 334.940233475
1528.5, 20287.5, 187.616230641
1528.6, 20972.6, 232.988926776
1528.7, 19594.0, 258.133298898
1528.8, 19696.5, 285.312898412
1528.9, 21678.6, 241.319373445
1529.0, 20647.8, 219.279638818
1529.1, 19493.3, 270.623003457
1529.2, 21224.8, 154.819120266
1529.3, 21303.1, 268.875231288
1529.4, 21160.1, 296.69123681
1529.5, 21559.5, 350.603265815
1529.6, 21229.0, 266.757942712
1529.7, 22433.0, 253.357060292
1529.8, 22461.1, 251.418157658
1529.9, 22543.1, 190.504304413
1530.0, 22549.5, 462.003084405
1530.1, 23218.1, 233.032379724
1530.2, 21084.7, 250.541034563
1530.3, 22298.2, 352.233956342
1530.4, 22428.0, 495.034746255
1530.5, 21219.4, 220.867924335
1530.6, 21156.8, 183.352556568
1530.7, 21274.2, 297.41277713
1530.8, 22441.8, 453.849049795
1530.9, 21259.5, 145.31637898
1531.0, 22321.6, 272.257304769
1531.1, 21387.4, 178.249375875
1531.2, 21250.3, 259.349590322
1531.3, 22482.6, 347.824725976
1531.4, 23021.0, 280.517379141
1531.5, 20917.0, 263.343501913
1531.6, 20542.0, 340.294872133
1531.7, 21128.5, 293.625697104
1531.8, 20115.9, 368.760477817
1531.9, 20963.9, 366.330301777
1532.0, 20260.8, 535.642754081
1532.1, 21070.2, 333.686319768
1532.2, 20441.6, 245.56555133
1532.3, 19697.0, 416.18625638
1532.4, 20224.7, 271.831951764
1532.5, 19250.5, 340.440964045
1532.6, 19163.4, 214.080452167
1532.7, 19633.4, 208.629911566
1532.8, 18328.2, 156.797193852
1532.9, 19676.1, 371.278992134
1533.0, 20414.6, 415.350502588
1533.1, 18070.0, 194.736231862
1533.2, 18099.8, 203.139754849
1533.3, 18491.1, 196.450731737
1533.4, 19183.3, 186.112358536
1533.5, 18055.2, 256.889392541
1533.6, 18099.1, 355.605807039
1533.7, 18351.2, 161.776265255
1533.8, 16284.0, 247.40614382
1533.9, 17530.3, 297.71531704
1534.0, 18126.7, 253.814912879
1534.1, 16827.2, 225.261536885
1534.2, 19623.7, 537.845340223
1534.3, 14999.3, 252.981442007
1534.4, 17543.6, 452.743017616
1534.5, 14840.6, 235.366182788
1534.6, 16888.2, 259.259252487
1534.7, 13421.4, 188.804766889
1534.8, 15900.7, 225.869896179
1534.9, 23220.6, 249.156657547
1535.0, 16029.8, 234.326609671
1535.1, 16501.9, 293.385224577
1535.2, 16072.2, 218.351459807
1535.3, 14891.4, 215.244605043
1535.4, 12825.9, 175.909891706
1535.5, 13491.4, 252.119495478
1535.6, 14766.4, 268.255177024
1535.7, 14813.0, 278.490215268
1535.8, 24283.8, 219.135483206
1535.9, 20376.5, 373.335840765
1536.0, 20547.6, 422.6772291
1536.1, 13100.9, 1006.70884073
1536.2, 12544.6, 551.150288034
1536.3, 24366.6, 1569.65640826
1536.4, 4177.9, 182.247331942
1536.5, 26597.6, 2107.69666698
1536.6, 41540.6, 748.715860657
1536.7, 116204.9, 1593.7438596
1536.8, 98831.5, 642.260266559
1536.9, 29001.3, 873.183606122
1537.0, 7294.6, 767.134955533
1537.1, 41579.1, 1389.72201897
1537.2, 16289.6, 1074.73068254
1537.3, 9866.5, 374.739175961
1537.4, 11722.3, 199.10050226
1537.5, 27943.8, 354.298123055
1537.6, 28858.1, 428.717494395
1537.7, 12460.5, 242.793430718
1537.8, 15756.8, 211.728977705
1537.9, 12083.7, 167.942281752
1538.0, 18621.9, 290.525541046
1538.1, 17162.2, 217.07915607
1538.2, 9950.1, 149.389725216
1538.3, 14798.2, 237.543175023
1538.4, 11332.3, 116.63108505
1538.5, 14655.6, 165.129161568
1538.6, 15050.6, 183.679176827
1538.7, 16169.9, 365.996024569
1538.8, 11468.0, 287.824946799
1538.9, 11047.3, 162.927621968
1539.0, 12644.5, 190.305675165
1539.1, 17835.5, 142.828743606
1539.2, 12574.1, 325.371003625
1539.3, 15955.7, 357.739584055
1539.4, 14306.9, 260.416378133
1539.5, 14927.6, 176.189216469
1539.6, 20539.7, 253.725855994
1539.7, 13226.0, 208.058164944
1539.8, 16143.3, 321.372696413
1539.9, 10707.0, 152.762560858
1540.0, 13323.1, 227.660031626
1540.1, 11229.5, 208.425166427
1540.2, 16439.8, 248.282419837
1540.3, 18130.2, 213.780635232
1540.4, 11876.3, 397.212046645
1540.5, 15196.1, 434.35894143
1540.6, 12627.6, 349.028422911
1540.7, 11373.2, 248.367389164
1540.8, 15644.9, 207.3
1540.9, 21551.7, 335.085078749
1541.0, 19654.2, 589.090451459
1541.1, 14396.0, 280.151030696
1541.2, 12447.6, 172.736330863
1541.3, 21105.8, 617.622344155
1541.4, 16526.1, 180.491800368
1541.5, 22346.4, 7928.17192296
1541.6, 14301.4, 270.480387459
1541.7, 8649.3, 107.931506058
1541.8, 17931.7, 314.191040611
1541.9, 9208.1, 215.685627708
1542.0, 22391.6, 176.922694983
1542.1, 13611.2, 175.609680827
1542.2, 20795.8, 532.115551361
1542.3, 20116.9, 257.472503386
1542.4, 19033.4, 419.240551474
1542.5, 8093.2, 247.87811521
1542.6, 16395.1, 211.974267306
1542.7, 11461.0, 3525.41685478
1542.8, 22842.9, 219.862889092
1542.9, 18914.3, 268.77650567
1543.0, 7258.8, 589.164968409
1543.1, 11050.8, 252.524771062
1543.2, 17934.5, 818.135471667
1543.3, 13945.4, 199.907078414
1543.4, 17679.9, 413.797643783
1543.5, 15348.3, 272.11029014
1543.6, 27859.2, 1878.29900708
1543.7, 30234.5, 1390.22388485
1543.8, 4899.5, 576.179355757
1543.9, 15559.4, 1403.74016114
1544.0, 32939.0, 975.241918705
1544.1, 19220.3, 1408.55550476
1544.2, 62924.9, 956.908611101
1544.3, 6347.7, 899.685283863
1544.4, 38271.1, 941.89770676
1544.5, 41746.3, 1424.13180921
1544.6, 15824.9, 676.100650791
1544.7, 9429.5, 250.895695459
1544.8, 22310.1, 317.765149127
1544.9, 13409.7, 407.293027193
1545.0, 19627.0, 309.07183631
1545.1, 11400.8, 164.559290227
1545.2, 16369.7, 610.979058561
1545.3, 17776.4, 333.569243186
1545.4, 13033.3, 116.7459207
1545.5, 15795.2, 399.927693465
1545.6, 17610.1, 425.104798844
1545.7, 15672.6, 206.6084219
1545.8, 11242.1, 117.374145364
1545.9, 12678.9, 130.09646421
1546.0, 12600.6, 214.817224635
1546.1, 21352.6, 325.620699588
1546.2, 21838.7, 607.955763193
1546.3, 95761.4, 2986.57259078
1546.4, 57784.1, 1969.05324712
1546.5, 27082.1, 1295.50541875
1546.6, 10688.2, 154.45245223
1546.7, 10228.0, 227.716051257
1546.8, 12866.2, 234.485308708
1546.9, 22729.6, 298.843169572
1547.0, 7947.2, 329.693736671
1547.1, 12904.1, 167.313747194
1547.2, 11227.4, 176.081344838
1547.3, 69889.3, 1026.24403043
1547.4, 37143.4, 1289.15307082
1547.5, 14142.0, 453.187599124
1547.6, 13906.6, 329.880948222
1547.7, 15222.1, 340.230054522
1547.8, 8902.8, 430.425556862
1547.9, 10732.1, 188.396629482
1548.0, 9448.9, 192.822949879
1548.1, 13627.6, 123.165092457
1548.2, 11860.2, 208.549178852
1548.3, 12490.9, 372.622718041
1548.4, 16650.4, 507.282209426
1548.5, 11451.4, 179.908976986
1548.6, 11256.9, 193.367241279
1548.7, 12382.8, 739.625959523
1548.8, 14519.9, 271.505230152
1548.9, 15865.1, 391.635404426
1549.0, 46525.8, 1115.48651269
1549.1, 61310.8, 1978.53060628
1549.2, 14047.4, 471.434025077
1549.3, 36772.8, 977.2942034
1549.4, 426661.7, 11994.0731784
1549.5, 291346.0, 2313.15403724
1549.6, 145641.1, 3898.5209875
Set Lambda Dowm (nm), Detector 5 (cts/s), Error Counts
1549.6, 166928.8, 10574.5221433
1549.5, 275789.5, 4021.64834987
1549.4, 428362.7, 27697.2118382
1549.3, 36068.6, 778.255896219
1549.2, 18757.7, 262.4557296
1549.1, 24858.5, 718.209614249
1549.0, 41794.5, 348.522954768
1548.9, 15946.2, 221.556674465
1548.8, 13918.9, 371.137292656
1548.7, 10859.3, 531.035789754
1548.6, 11469.6, 162.135868949
1548.5, 11208.0, 191.531198503
1548.4, 14777.4, 629.404829978
1548.3, 9906.0, 472.022245239
1548.2, 14406.9, 245.491527349
1548.1, 13020.0, 230.072597238
1548.0, 8408.5, 269.058450899
1547.9, 9481.1, 140.60615207
1547.8, 7255.9, 612.895007322
1547.7, 14699.5, 413.297048139
1547.6, 13213.0, 431.461933431
1547.5, 13710.6, 168.505311489
1547.4, 24250.5, 760.659089211
1547.3, 66593.1, 1253.22204337
1547.2, 14931.3, 408.451722973
1547.1, 15186.2, 127.286134359
1547.0, 11017.7, 374.984813026
1546.9, 22440.4, 433.945434358
1546.8, 13567.4, 210.513277491
1546.7, 14044.4, 155.765978314
1546.6, 13663.8, 373.452486938
1546.5, 38885.6, 2161.83728342
1546.4, 92311.8, 1393.01908099
1546.3, 102903.1, 2034.03886148
1546.2, 25625.2, 774.550811761
1546.1, 23825.6, 381.497365653
1546.0, 14456.0, 259.540748246
1545.9, 16301.8, 213.419680442
1545.8, 16608.5, 238.935242273
1545.7, 16222.0, 181.700853052
1545.6, 14028.1, 452.544903849
1545.5, 12849.5, 536.598406632
1545.4, 18356.2, 203.145662026
1545.3, 10822.7, 157.19990458
1545.2, 19626.8, 226.86462924
1545.1, 18712.1, 450.222711555
1545.0, 18084.2, 543.804891482
1544.9, 19333.0, 257.02178896
1544.8, 20151.6, 317.435410753
1544.7, 20373.1, 201.731727797
1544.6, 36334.0, 3131.5330431
1544.5, 25832.7, 597.87808958
1544.4, 41219.0, 1057.67026998
1544.3, 26562.2, 1492.73284951
1544.2, 36423.3, 2037.90480887
1544.1, 18248.5, 409.960790808
1544.0, 41696.2, 749.160303273
1543.9, 40354.9, 2455.07912092
1543.8, 38964.8, 2138.02417199
1543.7, 26254.9, 1343.2368704
1543.6, 9915.6, 350.304496117
1543.5, 16539.4, 494.33919529
1543.4, 27341.6, 740.360749905
1543.3, 17565.3, 378.606933375
1543.2, 39354.2, 786.309201269
1543.1, 30524.4, 459.955693518
1543.0, 37982.6, 2115.50221933
1542.9, 29695.2, 824.94251921
1542.8, 28739.8, 990.452603611
1542.7, 21172.8, 203.206692803
1542.6, 30722.7, 493.190642653
1542.5, 18184.4, 1194.73680784
1542.4, 28986.7, 422.053089078
1542.3, 32601.7, 318.657512072
1542.2, 34159.7, 400.783994191
1542.1, 17801.1, 325.263416326
1542.0, 28201.9, 304.381159075
1541.9, 17236.3, 491.169431052
1541.8, 25969.5, 721.86608869
1541.7, 19642.9, 109.636171039
1541.6, 23948.9, 310.35735854
1541.5, 22532.0, 265.746119445
1541.4, 23205.2, 520.970210281
1541.3, 28184.8, 1383.67314059
1541.2, 16306.7, 201.609548385
1541.1, 25711.3, 627.458054375
1541.0, 23510.4, 292.413474382
1540.9, 26685.1, 259.944782598
1540.8, 25073.4, 181.957797305
1540.7, 17524.3, 243.549194209
1540.6, 18111.0, 298.230447808
1540.5, 23156.4, 346.383660123
1540.4, 19079.4, 242.615003658
1540.3, 25201.7, 285.86362133
1540.2, 21016.8, 417.389937588
1540.1, 13991.3, 155.842901667
1540.0, 18194.0, 503.440761163
1539.9, 18980.2, 210.71630217
1539.8, 26916.7, 403.59015102
1539.7, 21459.9, 325.111196362
1539.6, 30650.0, 319.05798846
1539.5, 25882.3, 419.86570472
1539.4, 19428.9, 264.467937565
1539.3, 18960.8, 247.87085347
1539.2, 18956.9, 313.745581642
1539.1, 22925.6, 366.897860446
1539.0, 18446.3, 178.307066601
1538.9, 19531.4, 517.206767164
1538.8, 18329.3, 277.010126169
1538.7, 18834.7, 131.885594361
1538.6, 21039.0, 283.402187712
1538.5, 20119.5, 393.351051861
1538.4, 20610.4, 268.685764416
1538.3, 23949.9, 233.156792738
1538.2, 17029.4, 443.70039441
1538.1, 23194.8, 311.97878133
1538.0, 26727.0, 354.462409855
1537.9, 16666.7, 138.061616679
1537.8, 21387.2, 577.616620259
1537.7, 17137.6, 221.216274266
1537.6, 32520.3, 496.608910512
1537.5, 29238.5, 341.933692402
1537.4, 25341.6, 270.992324615
1537.3, 20467.2, 842.069332062
1537.2, 20566.9, 755.132233453
1537.1, 21327.1, 1355.13899287
1537.0, 26485.6, 2008.68779057
1536.9, 41925.0, 915.673631814
1536.8, 80176.4, 3048.02530173
1536.7, 100400.1, 1862.21112928
1536.6, 27706.9, 1179.1510039
1536.5, 22858.1, 1714.91763359
1536.4, 16156.0, 1583.65570753
1536.3, 49785.2, 1758.45590221
1536.2, 28661.4, 460.383796413
1536.1, 14961.7, 199.650720009
1536.0, 27386.3, 579.77393008
1535.9, 20761.8, 389.798358129
1535.8, 21828.1, 850.955280846
1535.7, 22006.3, 231.207287947
1535.6, 17665.7, 269.255287785
1535.5, 16323.5, 306.494779727
1535.4, 13493.7, 298.545490671
1535.3, 16510.1, 163.101471483
1535.2, 13970.7, 176.164724051
1535.1, 20994.0, 267.595590397
1535.0, 19233.2, 280.531923317
1534.9, 23946.4, 746.052035719
1534.8, 18230.1, 199.669952672
1534.7, 17200.5, 277.532430537
1534.6, 18510.3, 263.080615021
1534.5, 17157.3, 166.602551001
1534.4, 15105.9, 337.423013442
1534.3, 15005.4, 252.439774996
1534.2, 14681.8, 276.505623813
1534.1, 16063.4, 233.242877705
1534.0, 18303.5, 235.439270301
1533.9, 16967.4, 328.435138193
1533.8, 18434.7, 273.132586851
1533.7, 18998.2, 231.541702507
1533.6, 17750.0, 260.284075579
1533.5, 15759.4, 165.276858634
1533.4, 18277.2, 291.568105252
1533.3, 18065.7, 178.56206204
1533.2, 18585.1, 291.186349268
1533.1, 17424.3, 265.313795344
1533.0, 18749.2, 212.845389896
1532.9, 18919.1, 180.146301655
1532.8, 17584.9, 168.98192211
1532.7, 17916.5, 230.099652325
1532.6, 18206.1, 211.413079066
1532.5, 17587.3, 263.317318078
1532.4, 18534.6, 185.040103761
1532.3, 17871.3, 236.764461016
1532.2, 17997.5, 124.771992049
1532.1, 17873.9, 431.148802619
1532.0, 17624.0, 156.5669186
1531.9, 18195.2, 335.191527339
1531.8, 17098.8, 272.074916154
1531.7, 18205.0, 241.145184484
1531.6, 17558.7, 203.391764828
1531.5, 18572.2, 173.928606043
1531.4, 19678.0, 287.717222286
1531.3, 18845.3, 174.909147845
1531.2, 17344.9, 201.842240376
1531.1, 17901.4, 242.131038902
1531.0, 18848.7, 177.552273993
1530.9, 18372.4, 279.474220636
1530.8, 19322.6, 351.12909307
1530.7, 18130.2, 239.634638565
1530.6, 16427.8, 260.639521178
1530.5, 17600.4, 486.809038536
1530.4, 18050.5, 238.930638471
1530.3, 18238.4, 204.888359845
1530.2, 17707.4, 163.402692756
1530.1, 19779.6, 257.082554834
1530.0, 18057.9, 523.312421026
1529.9, 18744.3, 183.914137575
1529.8, 19083.4, 151.820420234
1529.7, 18840.9, 184.428007634
1529.6, 18964.9, 243.731594177
1529.5, 18010.7, 165.313671546
1529.4, 18168.3, 505.673026767
1529.3, 19680.6, 193.437948707
1529.2, 19638.3, 177.838719069
1529.1, 16716.7, 171.327201576
1529.0, 18233.0, 253.149758048
1528.9, 19218.9, 329.392911278
1528.8, 17375.2, 125.285913015
1528.7, 18005.8, 223.00798192
1528.6, 18175.7, 281.114229451
1528.5, 18656.0, 247.933458815
1528.4, 18787.1, 179.95913425
1528.3, 17257.8, 227.369215155
1528.2, 17795.1, 168.830358644
1528.1, 17356.3, 146.427490588
1528.0, 19451.8, 203.731097283
1527.9, 18789.6, 137.473779318
1527.8, 19687.2, 166.936395073
1527.7, 20016.3, 187.87498503
1527.6, 19687.3, 216.265600593
1527.5, 17762.7, 224.572950286
1527.4, 17944.4, 151.918530799
1527.3, 19756.1, 215.72410621
1527.2, 18968.4, 142.111364781
1527.1, 17519.2, 177.259583662
1527.0, 18050.8, 150.26895887
1526.9, 18203.2, 178.219976434
1526.8, 18778.8, 154.737713567
1526.7, 19540.1, 265.478605541
1526.6, 19353.7, 186.730313554
1526.5, 18709.5, 204.296965225
1526.4, 18089.8, 239.556590391
1526.3, 17155.2, 92.2104115596
1526.2, 18564.2, 211.558880693
1526.1, 18540.5, 200.631627616
1526.0, 17852.3, 172.44190326
1525.9, 21106.4, 226.306959681
1525.8, 18104.6, 206.45493455
1525.7, 18793.0, 164.064011898
1525.6, 19659.7, 221.025360536
1525.5, 18019.5, 151.537619092
1525.4, 17871.9, 302.311577681
1525.3, 19769.4, 192.773027159
1525.2, 18185.8, 236.86232288
1525.1, 19176.3, 252.075008678
1525.0, 18107.6, 312.343784955
1524.9, 17730.9, 164.292087454
1524.8, 17575.5, 215.492575278
1524.7, 17554.7, 165.201725173
1524.6, 18107.5, 181.039912726
1524.5, 18627.5, 174.090350106
1524.4, 17829.8, 190.177180545
1524.3, 17394.1, 147.166878067
1524.2, 18816.2, 231.773078678
1524.1, 16968.5, 219.341400561
1524.0, 17971.7, 236.304485781
1523.9, 17441.3, 267.421035074
1523.8, 17129.7, 108.562470495
1523.7, 16591.3, 242.212324212
1523.6, 17792.0, 155.290051195
1523.5, 17173.6, 214.907980308
1523.4, 17691.9, 145.673230211
1523.3, 16349.0, 275.811167287
1523.2, 18461.5, 246.70072963
1523.1, 17795.3, 224.066530298
1523.0, 17634.7, 240.445856691
1522.9, 17153.0, 218.48432438
1522.8, 16990.9, 229.198363869
1522.7, 16909.1, 268.19711035
1522.6, 18524.6, 131.422372525
1522.5, 17239.4, 220.960267922
1522.4, 16131.1, 272.620413762
1522.3, 16357.6, 231.188321504
1522.2, 17571.7, 295.888509409
1522.1, 16402.7, 175.678143205
1522.0, 16758.8, 165.926971888
1521.9, 17707.4, 161.483249905
1521.8, 18763.8, 242.97810601
1521.7, 16143.1, 253.856829729
1521.6, 17194.2, 206.326828115
1521.5, 17331.4, 238.074022102
1521.4, 16747.9, 272.197520194
1521.3, 17187.4, 276.553864554
1521.2, 17580.5, 254.298741641
1521.1, 17097.3, 205.084884865
1521.0, 17077.0, 199.339910705
1520.9, 16302.9, 217.738122523
1520.8, 16764.3, 200.488428594
1520.7, 17530.1, 130.246266741
1520.6, 17486.6, 357.128044264
1520.5, 17473.0, 174.234324976
1520.4, 16827.9, 127.307855217
1520.3, 17430.8, 72.3198451326
1520.2, 17814.8, 138.177277437
1520.1, 17643.2, 198.943107445
1520.0, 17542.3, 75.8789167029
1519.9, 16934.4, 170.584407259
1519.8, 16926.2, 164.757882968
1519.7, 16979.1, 178.617720286
1519.6, 16970.5, 426.092067516
1519.5, 17405.5, 267.470839532
1519.4, 17451.5, 226.113356527
1519.3, 16650.2, 177.081789013
1519.2, 17157.4, 183.605119754
1519.1, 17811.9, 176.091141174
1519.0, 16778.8, 189.158557829
1518.9, 16823.7, 295.800963487
1518.8, 16528.9, 215.735694775
1518.7, 17112.6, 336.997388714
1518.6, 16948.6, 284.64792288
1518.5, 16615.0, 215.938880242
1518.4, 16396.3, 203.605525465
1518.3, 18165.3, 275.303123847
1518.2, 17613.8, 200.793326582
1518.1, 17170.2, 282.027941878
1518.0, 16969.2, 295.609810392
1517.9, 17543.4, 208.350761938
1517.8, 17187.4, 150.636781697
1517.7, 16132.5, 274.046437671
1517.6, 17059.2, 202.409387134
1517.5, 17936.3, 203.539701287
1517.4, 16060.0, 128.13430454
1517.3, 15518.7, 133.307201606
1517.2, 15578.5, 235.947981555
1517.1, 16175.3, 174.129291045
1517.0, 16511.8, 225.354742573
1516.9, 15958.5, 188.842394605
1516.8, 16518.1, 211.715587523
1516.7, 16841.4, 222.236900626
